area,variable,MAE,RMSE,R2,n_instances
no1,con no1 intraday mwh/h cet h a,134.7597710861066,156.74118912416756,-2.2915295519214505,796
no1,con no1 heating % cet min15 s,0.004053077889447237,0.0069300146960471105,0.7232517355226821,796
no1,con no1 cooling % cet min15 s,0.0012150596733668342,0.0021320702279825714,0.9566793515442862,796
no1,pri no1 spot €/mwh cet h a,0.5371258636934673,1.853743925632096,0.9033421116080157,796
no1,rdl no1 mwh/h cet min15 a,184.35275329053837,205.28697778444763,-4.870444116559405,796
no1,pro no1 hydro tot mwh/h cet h af,230.85131067850966,248.32870820369544,-38.05207251131301,796
no1,pro no1 wnd mwh/h cet min15 a,32.54480173533015,36.76504062844568,-8.024898557364908,796
no2,con no2 intraday mwh/h cet h a,120.17098888831184,141.99783744492402,-1.5175289280032462,796
no2,con no2 heating % cet min15 s,0.002746152638190955,0.005108944965429605,0.8075916151998475,796
no2,con no2 cooling % cet min15 s,0.0007726130653266331,0.0014759143328235825,0.9648704375100984,796
no2,pri no2 spot €/mwh cet h a,0.6834936400753767,2.3327263909322693,0.8766138750376721,796
no2,rdl no2 mwh/h cet min15 a,169.76832199039342,194.97239317742478,-1.8143001754235797,796
no2,pro no2 hydro tot mwh/h cet h af,754.9306337746801,843.9657915785554,-14.028845085547841,796
no2,pro no2 wnd mwh/h cet min15 a,75.46816410224638,86.84819677022595,-5.396407327725327,796
no3,con no3 intraday mwh/h cet h a,108.28997360581332,125.03957196144857,-1.9687286132177166,796
no3,con no3 heating % cet min15 s,0.0033130496231155784,0.005534993770206129,0.7240741279166385,796
no3,con no3 cooling % cet min15 s,0.0008173680904522613,0.001595122406154547,0.97307492088203,796
no3,pri no3 spot €/mwh cet h a,0.23211369346733668,0.7898390537642956,0.8920896828445735,796
no3,rdl no3 mwh/h cet min15 a,211.72160077357717,241.69177557517182,-4.625607448971197,796
no3,pro no3 hydro tot mwh/h cet h af,286.7587550845969,317.005206114807,-18.82626202857874,796
no3,pro no3 wnd mwh/h cet min15 a,147.49628874879494,167.02956038661526,-4.728450492387587,796
no4,con no4 intraday mwh/h cet h a,86.8965816816346,100.8642412110788,-2.5420245148086797,796
no4,con no4 heating % cet min15 s,0.0031528737437185933,0.005167344370083596,0.49641350678053425,796
no4,con no4 cooling % cet min15 s,0.001175800879396985,0.002102097082903897,0.9655484859568506,796
no4,pri no4 spot €/mwh cet h a,0.10885953203517587,0.3741483445299582,0.892702867264491,796
no4,rdl no4 mwh/h cet min15 a,136.92893297204242,155.80698112004984,-2.9539612017492383,796
no4,pro no4 hydro tot mwh/h cet h af,312.8323552696932,348.1261046485947,-13.632004982759302,796
no4,pro no4 wnd mwh/h cet min15 a,73.21899672984075,83.01412820522907,-5.364696220382363,796
no5,con no5 intraday mwh/h cet h a,78.34454119972797,93.60064118220001,-2.6342300591739614,796
no5,con no5 heating % cet min15 s,0.0034406407035175884,0.006067020028199026,0.7349919012105244,796
no5,con no5 cooling % cet min15 s,0.0007596576633165829,0.001422759199248315,0.9812658243115124,796
no5,pri no5 spot €/mwh cet h a,0.4039121388190955,1.4079172692236108,0.8988118997328317,796
no5,rdl no5 mwh/h cet min15 a,77.22305371097589,89.30531470878051,-2.292174395157349,796
no5,pro no5 hydro tot mwh/h cet h af,518.1203325352232,583.4997608495083,-7.558565810825617,796
